company_name,high,low,last_price,prev_close,change,percent_gain
ICICI Lombard ,"1,918.30","1,891.90","1,915.50","1,904.10",11.40,0.6
Newgen Software,863.80,841.50,858.10,853.00,5.10,0.6
Adani Total Gas,631.00,618.00,629.35,625.65,3.70,0.59
JSW Steel,"1,051.30","1,023.80","1,034.90","1,028.80",6.10,0.59
ONGC,242.51,239.82,241.44,240.02,1.42,0.59
Grasim,"2,750.00","2,705.00","2,743.00","2,727.20",15.80,0.58
Chola Fin Hold,"1,928.10","1,881.10","1,912.50","1,901.50",11.00,0.58
Kansai Nerolac,243.00,240.65,242.00,240.70,1.30,0.54
Chambal Fert,534.95,524.90,532.70,529.90,2.80,0.53
Astral Ltd,"1,427.50","1,407.20","1,419.30","1,411.90",7.40,0.52
Mankind Pharma,"2,600.00","2,517.00","2,554.70","2,541.60",13.10,0.52
Persistent,"5,206.50","5,091.50","5,176.50","5,149.50",27.00,0.52
Persistent,"5,206.50","5,091.50","5,176.50","5,149.50",27.00,0.52
Fortis Health,854.50,840.20,850.60,846.25,4.35,0.51
CAMS,"3,951.70","3,872.00","3,915.60","3,896.10",19.50,0.5
Data Patterns,"2,625.00","2,529.80","2,584.40","2,571.60",12.80,0.5
NAVA,607.00,585.35,603.65,600.65,3.00,0.5
NTPC,335.50,328.50,334.60,332.95,1.65,0.5
Hindalco,695.00,685.00,692.70,689.35,3.35,0.49
HUL,"2,457.50","2,429.70","2,453.60","2,441.60",12.00,0.49
Pidilite Ind,"2,898.00","2,857.80","2,892.90","2,878.80",14.10,0.49
Sun Pharma,"1,718.00","1,697.10","1,710.50","1,702.20",8.30,0.49
IOB,38.08,37.34,37.92,37.74,0.18,0.48
PTC Industries,"14,850.00","14,561.00","14,753.00","14,683.00",70.00,0.48
Bajaj Auto,"8,146.00","8,056.00","8,127.50","8,089.50",38.00,0.47
Minda Corp,516.00,504.10,512.50,510.10,2.40,0.47
ABSL AMC,881.60,855.20,874.20,870.20,4.00,0.46
Alkem Lab,"5,097.50","5,036.50","5,070.70","5,047.40",23.30,0.46
BPCL,337.30,333.20,334.95,333.40,1.55,0.46
Indian Hotels,751.00,740.55,748.20,744.80,3.40,0.46
Ashok Leyland,124.05,122.10,123.30,122.75,0.55,0.45
Kaynes Tech,"5,567.00","5,405.00","5,542.00","5,517.00",25.00,0.45
Deepak Nitrite,"1,888.90","1,851.00","1,865.30","1,857.20",8.10,0.44
Emcure Pharmace,"1,430.00","1,392.00","1,408.90","1,402.70",6.20,0.44
HCL Tech,"1,477.50","1,461.00","1,472.40","1,466.10",6.30,0.43
Colgate,"2,222.90","2,194.00","2,215.00","2,205.80",9.20,0.42
PB Fintech,"1,807.00","1,756.90","1,790.10","1,782.70",7.40,0.42
Central Bank,36.99,36.26,36.88,36.73,0.15,0.41
NHPC,84.35,83.12,84.04,83.70,0.34,0.41
Power Grid Corp,293.90,289.80,293.10,291.90,1.20,0.41
Jindal Saw,218.61,213.71,216.64,215.76,0.88,0.41
Jindal Saw,218.61,213.71,216.64,215.76,0.88,0.41
Guj Mineral,415.95,398.00,411.10,409.45,1.65,0.4
Bayer CropScien,"6,445.00","6,302.50","6,352.00","6,327.50",24.50,0.39
Ipca Labs,"1,499.90","1,467.10","1,488.50","1,482.80",5.70,0.38
Poly Medicure,"1,992.70","1,950.20","1,976.60","1,969.20",7.40,0.38
Network 18,57.07,55.52,56.46,56.25,0.21,0.37
SKF India,"4,864.90","4,742.00","4,842.40","4,824.60",17.80,0.37
Blue Star,"1,748.00","1,720.00","1,744.90","1,738.70",6.20,0.36
Yes Bank,19.54,19.31,19.40,19.33,0.07,0.36
Vedanta,441.50,433.40,439.50,437.95,1.55,0.35
KEI Industries,"3,943.80","3,860.00","3,922.00","3,908.70",13.30,0.34
SAIL,126.75,123.30,126.01,125.59,0.42,0.33
Kotak Mahindra,"1,979.70","1,953.00","1,972.70","1,966.60",6.10,0.31
JM Financial,164.70,159.47,163.38,162.91,0.47,0.29
ICICI Prudentia,620.35,612.50,616.40,614.70,1.70,0.28
Radico Khaitan,"2,731.00","2,674.70","2,687.10","2,679.50",7.60,0.28
Tata Comm,"1,757.30","1,715.90","1,729.40","1,724.60",4.80,0.28
General Insuran,374.50,367.90,371.45,370.45,1.00,0.27
Raymond,695.00,668.30,687.95,686.10,1.85,0.27
IOC,148.20,146.50,147.94,147.56,0.38,0.26
SBI,800.00,793.10,799.20,797.15,2.05,0.26
Endurance Techn,"2,612.00","2,520.80","2,560.60","2,554.10",6.50,0.25
Honeywell Autom,"38,515.00","37,565.00","38,275.00","38,180.00",95.00,0.25
Dixon Technolog,"16,814.00","16,584.00","16,784.00","16,744.00",40.00,0.24
Route,917.10,899.10,910.50,908.30,2.20,0.24
UCO Bank,30.30,29.72,30.21,30.14,0.07,0.23
Indegene,551.20,543.30,548.85,547.65,1.20,0.22
Tech Mahindra,"1,459.10","1,436.40","1,453.80","1,450.60",3.20,0.22
Siemens,"3,088.70","3,034.60","3,068.00","3,061.60",6.40,0.21
Inventurus Know,"1,597.80","1,569.60","1,583.10","1,580.00",3.10,0.2
Atul,"6,785.00","6,651.00","6,719.00","6,706.00",13.00,0.19
Container Corp,593.65,586.50,592.05,590.90,1.15,0.19
LTIMindtree,"5,089.00","5,006.00","5,056.50","5,047.00",9.50,0.19
Chalet Hotels,909.30,891.05,900.05,898.45,1.60,0.18
TataTeleservice,61.00,59.60,60.53,60.42,0.11,0.18
Havells India,"1,517.00","1,491.30","1,510.30","1,507.80",2.50,0.17
Cummins,"3,568.70","3,514.70","3,535.20","3,529.40",5.80,0.16
Tata Power,401.60,396.00,399.85,399.20,0.65,0.16
TATA Cons. Prod,"1,076.20","1,054.00","1,061.60","1,059.90",1.70,0.16
Trent,"5,052.00","4,957.50","5,001.50","4,994.00",7.50,0.15
Cipla,"1,579.40","1,559.60","1,574.00","1,572.00",2.00,0.13
AstraZeneca,"9,000.00","8,865.50","8,947.50","8,937.50",10.00,0.11
ACC,"1,844.00","1,821.80","1,827.40","1,825.60",1.80,0.1
Vardhman Text,464.20,456.10,460.00,459.55,0.45,0.1
TVS Motor,"2,825.00","2,784.90","2,801.80","2,798.90",2.90,0.1
